taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
25000,0,1,CountingSort,75001,0,0,2776122
25000,0,1,QuickSort,1309222,603226,218689,6630394
25000,0,1,InsertionSort,74997,24999,0,2089781
25000,0,1,BubbleSort,49998,24999,0,1460961
25000,0,1,MergeSort,734464,188476,0,5033964
25000,0,2,CountingSort,75001,0,0,3194612
25000,0,2,QuickSort,1456454,653570,250948,5508344
25000,0,2,InsertionSort,74997,24999,0,2077211
25000,0,2,BubbleSort,49998,24999,0,1726771
25000,0,2,MergeSort,734464,188476,0,5636445
25000,0,3,CountingSort,75001,0,0,2711112
25000,0,3,QuickSort,1597391,709697,279196,6072164
25000,0,3,InsertionSort,74997,24999,0,2134192
25000,0,3,BubbleSort,49998,24999,0,1732551
25000,0,3,MergeSort,734464,188476,0,5366414
25000,0,4,CountingSort,75001,0,0,2912852
25000,0,4,QuickSort,1518845,682412,262113,8341226
25000,0,4,InsertionSort,74997,24999,0,2103781
25000,0,4,BubbleSort,49998,24999,0,1411251
25000,0,4,MergeSort,734464,188476,0,4888804
25000,25,1,CountingSort,75001,0,0,2688242
25000,25,1,QuickSort,1399023,625335,241180,7540855
25000,25,1,InsertionSort,221451585,73817195,0,68411059
25000,25,1,BubbleSort,920062274,312446745,73792196,461224498
25000,25,1,MergeSort,734464,330229,0,5686733
25000,25,2,CountingSort,75001,0,0,2697362
25000,25,2,QuickSort,1542482,686816,268580,7696725
25000,25,2,InsertionSort,26683958,8894650,0,24953527
25000,25,2,BubbleSort,305451498,134986439,8869655,152140648
25000,25,2,MergeSort,734464,218595,0,7852915
25000,25,3,CountingSort,75001,0,0,2746872
25000,25,3,QuickSort,1476737,656147,256856,6401675
25000,25,3,InsertionSort,26424981,8808327,0,20271624
25000,25,3,BubbleSort,302766000,133816344,8783328,152536359
25000,25,3,MergeSort,734464,218579,0,5054064
25000,25,4,CountingSort,75001,0,0,2707102
25000,25,4,QuickSort,1397064,635463,237201,6120165
25000,25,4,InsertionSort,26174373,8724791,0,19898364
25000,25,4,BubbleSort,302583068,133891950,8699792,154386698
25000,25,4,MergeSort,734464,218618,0,5024143
25000,50,1,CountingSort,75001,0,0,2748532
25000,50,1,QuickSort,1472476,652834,256541,8204696
25000,50,1,InsertionSort,333108684,111036226,0,96919767
25000,50,1,BubbleSort,1068996050,312475565,111011230,497910360
25000,50,1,MergeSort,734464,333007,0,6193554
25000,50,2,CountingSort,75001,0,0,2794681
25000,50,2,QuickSort,1417358,632087,245135,6713145
25000,50,2,InsertionSort,105778966,35259654,0,43087340
25000,50,2,BubbleSort,608021838,233541605,35234657,310635125
25000,50,2,MergeSort,734464,254870,0,5361094
25000,50,3,CountingSort,75001,0,0,2718972
25000,50,3,QuickSort,1482414,662829,256539,6537195
25000,50,3,InsertionSort,106102584,35367528,0,43991291
25000,50,3,BubbleSort,606588156,232609020,35342529,283679336
25000,50,3,MergeSort,734464,254984,0,5453954
25000,50,4,CountingSort,75001,0,0,2786812
25000,50,4,QuickSort,1374053,626261,232581,5561984
25000,50,4,InsertionSort,107337126,35779042,0,40972039
25000,50,4,BubbleSort,606993140,231988484,35754043,321096451
25000,50,4,MergeSort,734464,255007,0,5328254
25000,75,1,CountingSort,75001,0,0,2942972
25000,75,1,QuickSort,1409243,639659,239829,5796854
25000,75,1,InsertionSort,390104546,130034846,0,104248081
25000,75,1,BubbleSort,1144889442,312425019,130009851,553709849
25000,75,1,MergeSort,734464,333610,0,6135104
25000,75,2,CountingSort,75001,0,0,2747692
25000,75,2,QuickSort,1377855,624018,234575,7296465
25000,75,2,InsertionSort,237084655,79028215,0,72656860
25000,75,2,BubbleSort,900975934,292481525,79003221,423327736
25000,75,2,MergeSort,734464,291297,0,6707264
25000,75,3,CountingSort,75001,0,0,2828162
25000,75,3,QuickSort,1388431,632287,235344,6748235
25000,75,3,InsertionSort,240101643,80033881,0,83759907
25000,75,3,BubbleSort,904567288,292265880,80008882,424824096
25000,75,3,MergeSort,734464,294463,0,5680334
25000,75,4,CountingSort,75001,0,0,2947842
25000,75,4,QuickSort,1388846,634526,234784,7267965
25000,75,4,InsertionSort,236886870,78962290,0,72754978
25000,75,4,BubbleSort,899527022,291888929,78937291,425589664
25000,75,4,MergeSort,734464,297655,0,5920514
25000,100,1,CountingSort,75001,0,0,2696852
25000,100,1,QuickSort,1353354,631539,223872,11697087
25000,100,1,InsertionSort,419922963,139974319,0,115276397
25000,100,1,BubbleSort,1184607862,312405285,139949323,517758192
25000,100,1,MergeSort,734464,334047,0,6058694
25000,100,2,CountingSort,75001,0,0,2740772
25000,100,2,QuickSort,1407690,640371,239087,5777124
25000,100,2,InsertionSort,423200320,141066772,0,114726386
25000,100,2,BubbleSort,1189059444,312446172,141041775,526553155
25000,100,2,MergeSort,734464,333893,0,6195934
25000,100,3,CountingSort,75001,0,0,2840972
25000,100,3,QuickSort,1395692,639137,235483,5811784
25000,100,3,InsertionSort,423670086,141223360,0,139895371
25000,100,3,BubbleSort,1189727450,312466997,141198364,650642583
25000,100,3,MergeSort,734464,333887,0,6107014
25000,100,4,CountingSort,75001,0,0,2693061
25000,100,4,QuickSort,1440183,663885,242124,5882124
25000,100,4,InsertionSort,419369229,139789739,0,117146925
25000,100,4,BubbleSort,1184024672,312482844,139764746,533158112
25000,100,4,MergeSort,734464,334003,0,6270964
