taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
100,0,1,CountingSort,301,0,0,17190
100,0,1,QuickSort,2105,839,355,172021
100,0,1,InsertionSort,297,99,0,13370
100,0,1,BubbleSort,198,99,0,8910
100,0,1,MergeSort,1344,356,0,84170
100,0,2,CountingSort,301,0,0,16940
100,0,2,QuickSort,2403,918,427,136500
100,0,2,InsertionSort,297,99,0,12360
100,0,2,BubbleSort,198,99,0,9160
100,0,2,MergeSort,1344,356,0,84580
100,0,3,CountingSort,301,0,0,17190
100,0,3,QuickSort,2158,868,364,140971
100,0,3,InsertionSort,297,99,0,12270
100,0,3,BubbleSort,198,99,0,9110
100,0,3,MergeSort,1344,356,0,94030
100,0,4,CountingSort,301,0,0,45350
100,0,4,QuickSort,2325,942,397,204720
100,0,4,InsertionSort,297,99,0,16060
100,0,4,BubbleSort,198,99,0,13430
100,0,4,MergeSort,1344,356,0,115860
100,25,1,CountingSort,301,0,0,17070
100,25,1,QuickSort,2543,1046,432,143300
100,25,1,InsertionSort,3912,1304,0,117591
100,25,1,BubbleSort,14300,4740,1205,337730
100,25,1,MergeSort,1344,518,0,81400
100,25,2,CountingSort,301,0,0,17570
100,25,2,QuickSort,2634,978,487,147050
100,25,2,InsertionSort,687,227,0,24330
100,25,2,BubbleSort,3944,1710,131,165320
100,25,2,MergeSort,1344,378,0,76530
100,25,3,CountingSort,301,0,0,17430
100,25,3,QuickSort,2247,897,384,131420
100,25,3,InsertionSort,840,280,0,38140
100,25,3,BubbleSort,4304,1790,181,123120
100,25,3,MergeSort,1344,381,0,80140
100,25,4,CountingSort,301,0,0,17330
100,25,4,QuickSort,2562,1023,444,136860
100,25,4,InsertionSort,741,247,0,23940
100,25,4,BubbleSort,4640,2024,148,156990
100,25,4,MergeSort,1344,381,0,80450
100,50,1,CountingSort,301,0,0,17060
100,50,1,QuickSort,2219,830,397,131260
100,50,1,InsertionSort,5187,1729,0,148370
100,50,1,BubbleSort,16418,4949,1630,414640
100,50,1,MergeSort,1344,537,0,82900
100,50,2,CountingSort,301,0,0,25820
100,50,2,QuickSort,2200,889,371,131040
100,50,2,InsertionSort,1937,643,0,70800
100,50,2,BubbleSort,8432,3120,548,235691
100,50,2,MergeSort,1344,430,0,76190
100,50,3,CountingSort,301,0,0,17150
100,50,3,QuickSort,2478,951,445,144350
100,50,3,InsertionSort,2058,686,0,90930
100,50,3,BubbleSort,8942,3297,587,270840
100,50,3,MergeSort,1344,419,0,84580
100,50,4,CountingSort,301,0,0,17510
100,50,4,QuickSort,2304,903,399,168730
100,50,4,InsertionSort,2139,713,0,70160
100,50,4,BubbleSort,9276,3410,614,230660
100,50,4,MergeSort,1344,428,0,75580
100,75,1,CountingSort,301,0,0,17150
100,75,1,QuickSort,2461,916,450,151360
100,75,1,InsertionSort,6551,2179,0,189200
100,75,1,BubbleSort,18206,4929,2087,399430
100,75,1,MergeSort,1344,538,0,111080
100,75,2,CountingSort,301,0,0,17340
100,75,2,QuickSort,2436,888,453,128341
100,75,2,InsertionSort,3803,1265,0,150250
100,75,2,BubbleSort,13710,4515,1170,391930
100,75,2,MergeSort,1344,471,0,77680
100,75,3,CountingSort,301,0,0,21000
100,75,3,QuickSort,2406,897,437,136480
100,75,3,InsertionSort,3522,1174,0,131660
100,75,3,BubbleSort,12394,4047,1075,344221
100,75,3,MergeSort,1344,491,0,103310
100,75,4,CountingSort,301,0,0,17550
100,75,4,QuickSort,3228,1194,610,209810
100,75,4,InsertionSort,3633,1211,0,184670
100,75,4,BubbleSort,13536,4544,1112,316260
100,75,4,MergeSort,1344,493,0,76130
100,100,1,CountingSort,301,0,0,17170
100,100,1,QuickSort,2607,1032,454,155140
100,100,1,InsertionSort,7635,2545,0,221221
100,100,1,BubbleSort,19628,4922,2446,385470
100,100,1,MergeSort,1344,541,0,80210
100,100,2,CountingSort,301,0,0,16980
100,100,2,QuickSort,2531,971,456,146170
100,100,2,InsertionSort,7227,2409,0,195410
100,100,2,BubbleSort,18958,4859,2310,453330
100,100,2,MergeSort,1344,532,0,75990
100,100,3,CountingSort,301,0,0,17660
100,100,3,QuickSort,2332,889,414,140631
100,100,3,InsertionSort,7576,2522,0,219940
100,100,3,BubbleSort,19522,4905,2428,378930
100,100,3,MergeSort,1344,536,0,80180
100,100,4,CountingSort,301,0,0,17780
100,100,4,QuickSort,3035,1142,562,163740
100,100,4,InsertionSort,6457,2149,0,183911
100,100,4,BubbleSort,17910,4845,2055,366220
100,100,4,MergeSort,1344,521,0,79680
