taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
100000,0,1,CountingSort,300001,0,0,3367778
100000,0,1,QuickSort,6388171,2896981,1097134,15852590
100000,0,1,InsertionSort,299997,99999,0,5532396
100000,0,1,BubbleSort,199998,99999,0,4078187
100000,0,1,MergeSort,3337856,853904,0,15753610
100000,0,2,CountingSort,300001,0,0,3823028
100000,0,2,QuickSort,6846949,3121933,1174970,22348905
100000,0,2,InsertionSort,299997,99999,0,5454966
100000,0,2,BubbleSort,199998,99999,0,4014298
100000,0,2,MergeSort,3337856,853904,0,15395570
100000,0,3,CountingSort,300001,0,0,3839668
100000,0,3,QuickSort,6596038,3002668,1131103,16999869
100000,0,3,InsertionSort,299997,99999,0,5508056
100000,0,3,BubbleSort,199998,99999,0,3911467
100000,0,3,MergeSort,3337856,853904,0,17144199
100000,0,4,CountingSort,300001,0,0,3844937
100000,0,4,QuickSort,6252221,2916824,1045257,14180441
100000,0,4,InsertionSort,299997,99999,0,5486386
100000,0,4,BubbleSort,199998,99999,0,4106577
100000,0,4,MergeSort,3337856,853904,0,14857970
100000,25,1,CountingSort,300001,0,0,3563598
100000,25,1,QuickSort,6741468,3087306,1151299,15010050
100000,25,1,InsertionSort,2330938665,776979555,0,568412135
100000,25,1,BubbleSort,13107052804,4999767290,776879556,7412833662
100000,25,1,MergeSort,3337856,1501064,0,20122467
100000,25,2,CountingSort,300001,0,0,3644087
100000,25,2,QuickSort,7094011,3236218,1219268,14457761
100000,25,2,InsertionSort,466148139,155382707,0,144940797
100000,25,2,BubbleSort,4988753516,2183811324,155282717,2379011701
100000,25,2,MergeSort,3337856,999426,0,18860048
100000,25,3,CountingSort,300001,0,0,3715318
100000,25,3,QuickSort,6453222,2959044,1097993,15096150
100000,25,3,InsertionSort,466010541,155336847,0,120740362
100000,25,3,BubbleSort,4968739812,2173896210,155236848,2390690054
100000,25,3,MergeSort,3337856,999455,0,16304460
100000,25,4,CountingSort,300001,0,0,3702608
100000,25,4,QuickSort,6614013,2985231,1142986,17377109
100000,25,4,InsertionSort,468236040,156078680,0,120403493
100000,25,4,BubbleSort,4984480604,2180282940,155978681,2654920873
100000,25,4,MergeSort,3337856,999751,0,20873497
100000,50,1,CountingSort,300001,0,0,3640498
100000,50,1,QuickSort,7057706,3286424,1190317,15862361
100000,50,1,InsertionSort,4383353224,1461117740,0,1029956087
100000,50,1,BubbleSort,15843054166,4999491597,1461017743,9274098580
100000,50,1,MergeSort,3337856,1526544,0,20851527
100000,50,2,CountingSort,300001,0,0,3555928
100000,50,2,QuickSort,6731742,3109485,1140727,16706849
100000,50,2,InsertionSort,1872307566,624102518,0,458808394
100000,50,2,BubbleSort,9985950200,3744970050,624002525,4664033033
100000,50,2,MergeSort,3337856,1170292,0,19133228
100000,50,3,CountingSort,300001,0,0,3643588
100000,50,3,QuickSort,6549221,2967827,1127141,16823709
100000,50,3,InsertionSort,1866900567,622300189,0,458434834
100000,50,3,BubbleSort,9965095300,3738147270,622200190,4655081946
100000,50,3,MergeSort,3337856,1170291,0,46965970
100000,50,4,CountingSort,300001,0,0,3645727
100000,50,4,QuickSort,6976713,3166455,1203433,19107848
100000,50,4,InsertionSort,1876195767,625398589,0,459074674
100000,50,4,BubbleSort,9986122010,3742463825,625298590,5230055103
100000,50,4,MergeSort,3337856,1170120,0,22916295
100000,75,1,CountingSort,300001,0,0,3612477
100000,75,1,QuickSort,6949012,3157201,1197192,31958819
100000,75,1,InsertionSort,6075850744,2025283580,0,1439862279
100000,75,1,BubbleSort,18099617260,4999441464,2025183583,11709537294
100000,75,1,MergeSort,3337856,1534974,0,21189876
100000,75,2,CountingSort,300001,0,0,3572468
100000,75,2,QuickSort,6392694,2908215,1094849,16698960
100000,75,2,InsertionSort,4232888299,1410962761,0,987647740
100000,75,2,BubbleSort,15013315980,4684932450,1410862770,7527046952
100000,75,2,MergeSort,3337856,1340838,0,19825527
100000,75,3,CountingSort,300001,0,0,3607447
100000,75,3,QuickSort,6679790,2986256,1164501,17129509
100000,75,3,InsertionSort,4232554011,1410851337,0,1023061687
100000,75,3,BubbleSort,15009351282,4683172965,1410751338,8035866525
100000,75,3,MergeSort,3337856,1353326,0,55430044
100000,75,4,CountingSort,300001,0,0,3570057
100000,75,4,QuickSort,6804350,3066854,1179170,16488509
100000,75,4,InsertionSort,4228763685,1409587895,0,1234573108
100000,75,4,BubbleSort,15005454828,4683751622,1409487896,8562179466
100000,75,4,MergeSort,3337856,1365446,0,62354609
100000,100,1,CountingSort,300001,0,0,5264747
100000,100,1,QuickSort,6471187,2958106,1104203,29208121
100000,100,1,InsertionSort,7522044689,2507348225,0,1743746861
100000,100,1,BubbleSort,20028753430,4999880249,2507248233,11630819604
100000,100,1,MergeSort,3337856,1536226,0,19380787
100000,100,2,CountingSort,300001,0,0,3765358
100000,100,2,QuickSort,6491658,2973372,1106053,17727739
100000,100,2,InsertionSort,7506032395,2502010791,0,2188360228
100000,100,2,BubbleSort,20007351806,4999854297,2501910803,11783672960
100000,100,2,MergeSort,3337856,1536109,0,22874975
100000,100,3,CountingSort,300001,0,0,3650758
100000,100,3,QuickSort,6650965,3060055,1130369,17855009
100000,100,3,InsertionSort,7492719424,2497573130,0,2268878702
100000,100,3,BubbleSort,19989651592,4999879500,2497473148,12062378143
100000,100,3,MergeSort,3337856,1536611,0,22274355
100000,100,4,CountingSort,300001,0,0,3259828
100000,100,4,QuickSort,7236538,3264085,1257508,18866198
100000,100,4,InsertionSort,7509817414,2503272456,0,2184872934
100000,100,4,BubbleSort,20012277998,4999794039,2503172480,12028784160
100000,100,4,MergeSort,3337856,1536487,0,21911876
