taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
75000,0,1,CountingSort,225001,0,0,3542257
75000,0,1,QuickSort,4831508,2179991,833797,15915000
75000,0,1,InsertionSort,224997,74999,0,5211397
75000,0,1,BubbleSort,149998,74999,0,3896378
75000,0,1,MergeSort,2437856,624316,0,13005312
75000,0,2,CountingSort,225001,0,0,3583007
75000,0,2,QuickSort,5091569,2257925,894489,15633160
75000,0,2,InsertionSort,224997,74999,0,5285347
75000,0,2,BubbleSort,149998,74999,0,3752717
75000,0,2,MergeSort,2437856,624316,0,13359711
75000,0,3,CountingSort,225001,0,0,3490097
75000,0,3,QuickSort,5122661,2294744,892636,18089309
75000,0,3,InsertionSort,224997,74999,0,4988897
75000,0,3,BubbleSort,149998,74999,0,3649827
75000,0,3,MergeSort,2437856,624316,0,14191441
75000,0,4,CountingSort,225001,0,0,3782328
75000,0,4,QuickSort,4811275,2171263,830111,14603751
75000,0,4,InsertionSort,224997,74999,0,5402576
75000,0,4,BubbleSort,149998,74999,0,3933567
75000,0,4,MergeSort,2437856,624316,0,13757521
75000,25,1,CountingSort,225001,0,0,3287009
75000,25,1,QuickSort,5044465,2291692,867539,15034221
75000,25,1,InsertionSort,1308225519,436075173,0,321522448
75000,25,1,BubbleSort,7368617116,2812308210,436000174,4090177267
75000,25,1,MergeSort,2437856,1094046,0,16643459
75000,25,2,CountingSort,225001,0,0,3022338
75000,25,2,QuickSort,4789660,2219182,806880,12098883
75000,25,2,InsertionSort,262803694,87601226,0,71177995
75000,25,2,BubbleSort,2799876488,1224885774,87526235,1495451939
75000,25,2,MergeSort,2437856,729798,0,16904239
75000,25,3,CountingSort,225001,0,0,3261257
75000,25,3,QuickSort,5214976,2348221,905593,15709080
75000,25,3,InsertionSort,264921561,88307187,0,71188185
75000,25,3,BubbleSort,2799882250,1223476749,88232188,1347726731
75000,25,3,MergeSort,2437856,729655,0,14202011
75000,25,4,CountingSort,225001,0,0,3318878
75000,25,4,QuickSort,5075525,2312168,871245,14388301
75000,25,4,InsertionSort,264487044,88162348,0,73556943
75000,25,4,BubbleSort,2787340476,1217495540,88087349,1364595140
75000,25,4,MergeSort,2437856,729856,0,16359200
75000,50,1,CountingSort,225001,0,0,3356228
75000,50,1,QuickSort,4752271,2176000,808717,14962681
75000,50,1,InsertionSort,2475042315,825014105,0,723523565
75000,50,1,BubbleSort,8924536644,2812390110,824939106,5187006710
75000,50,1,MergeSort,2437856,1113531,0,17537839
75000,50,2,CountingSort,225001,0,0,3320868
75000,50,2,QuickSort,4665307,2123686,797279,15662610
75000,50,2,InsertionSort,1058023708,352674564,0,261214115
75000,50,2,BubbleSort,5614975636,2102288672,352599573,2759428899
75000,50,2,MergeSort,2437856,853964,0,16384360
75000,50,3,CountingSort,225001,0,0,3322139
75000,50,3,QuickSort,5050136,2272769,875845,15793210
75000,50,3,InsertionSort,1057899582,352633194,0,261835715
75000,50,3,BubbleSort,5609377940,2099572580,352558195,2530693762
75000,50,3,MergeSort,2437856,853969,0,15660500
75000,50,4,CountingSort,225001,0,0,3268458
75000,50,4,QuickSort,4799101,2169076,826661,15068601
75000,50,4,InsertionSort,1052730402,350910134,0,260397296
75000,50,4,BubbleSort,5599916898,2098288179,350835135,2562622521
75000,50,4,MergeSort,2437856,853917,0,17822209
75000,75,1,CountingSort,225001,0,0,3847597
75000,75,1,QuickSort,4682653,2102842,810016,17406198
75000,75,1,InsertionSort,3431712126,1143904042,0,833014844
75000,75,1,BubbleSort,10199927012,2812305420,1143829043,5866639019
75000,75,1,MergeSort,2437856,1120006,0,17849579
75000,75,2,CountingSort,225001,0,0,3188728
75000,75,2,QuickSort,4683852,2121876,804053,14494011
75000,75,2,InsertionSort,2362565933,787521969,0,700177216
75000,75,2,BubbleSort,8401006040,2625609054,787446983,4008513742
75000,75,2,MergeSort,2437856,978343,0,17493069
75000,75,3,CountingSort,225001,0,0,2977618
75000,75,3,QuickSort,5058106,2330812,859135,14398960
75000,75,3,InsertionSort,2356262478,785420826,0,690730012
75000,75,3,BubbleSort,8411381548,2634999120,785345827,4036542852
75000,75,3,MergeSort,2437856,987431,0,17843619
75000,75,4,CountingSort,225001,0,0,3391318
75000,75,4,QuickSort,4600323,2095680,784855,16075609
75000,75,4,InsertionSort,2379758688,793252896,0,580007362
75000,75,4,BubbleSort,8432387156,2629837784,793177897,4811984906
75000,75,4,MergeSort,2437856,996998,0,29154061
75000,100,1,CountingSort,225001,0,0,3190228
75000,100,1,QuickSort,4711643,2154956,802275,15726690
75000,100,1,InsertionSort,4232177795,1410725921,0,983499513
75000,100,1,BubbleSort,11267415520,2812405884,1410650938,6244519025
75000,100,1,MergeSort,2437856,1121245,0,16927529
75000,100,2,CountingSort,225001,0,0,3249728
75000,100,2,QuickSort,5046203,2266349,876667,16219170
75000,100,2,InsertionSort,4228619894,1409539960,0,988317499
75000,100,2,BubbleSort,11262775752,2812457940,1409464968,6419178407
75000,100,2,MergeSort,2437856,1121090,0,18785758
75000,100,3,CountingSort,225001,0,0,3231738
75000,100,3,QuickSort,4688488,2129245,803101,15743989
75000,100,3,InsertionSort,4206038025,1402012667,0,976990565
75000,100,3,BubbleSort,11232608380,2812428830,1401937680,6246533222
75000,100,3,MergeSort,2437856,1121075,0,18837798
75000,100,4,CountingSort,225001,0,0,3500408
75000,100,4,QuickSort,4938077,2281631,835467,14824830
75000,100,4,InsertionSort,4229305829,1409768603,0,991538335
75000,100,4,BubbleSort,11263649056,2812437300,1409693614,6115070722
75000,100,4,MergeSort,2437856,1121294,0,18446858
