taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
500,0,1,CountingSort,1501,0,0,165717
500,0,1,QuickSort,19168,8608,3188,917689
500,0,1,InsertionSort,1497,499,0,75889
500,0,1,BubbleSort,998,499,0,48851
500,0,1,MergeSort,8976,2272,0,634868
500,0,2,CountingSort,1501,0,0,114223
500,0,2,QuickSort,17505,7293,3070,893401
500,0,2,InsertionSort,1497,499,0,75878
500,0,2,BubbleSort,998,499,0,47963
500,0,2,MergeSort,8976,2272,0,661183
500,0,3,CountingSort,1501,0,0,114526
500,0,3,QuickSort,19001,7790,3405,842166
500,0,3,InsertionSort,1497,499,0,82012
500,0,3,BubbleSort,998,499,0,49026
500,0,3,MergeSort,8976,2272,0,650930
500,0,4,CountingSort,1501,0,0,113552
500,0,4,QuickSort,15512,6665,2607,930882
500,0,4,InsertionSort,1497,499,0,76466
500,0,4,BubbleSort,998,499,0,48396
500,0,4,MergeSort,8976,2272,0,656271
500,25,1,CountingSort,1501,0,0,114153
500,25,1,QuickSort,17605,7645,2989,863451
500,25,1,InsertionSort,91602,30534,0,3364414
500,25,1,BubbleSort,368234,124047,30035,7276921
500,25,1,MergeSort,8976,3726,0,709797
500,25,2,CountingSort,1501,0,0,126112
500,25,2,QuickSort,14958,6630,2436,884439
500,25,2,InsertionSort,12230,4074,0,510784
500,25,2,BubbleSort,114434,50059,3579,4478179
500,25,2,MergeSort,8976,2537,0,653502
500,25,3,CountingSort,1501,0,0,114096
500,25,3,QuickSort,16811,6782,3009,1036353
500,25,3,InsertionSort,12507,4169,0,519270
500,25,3,BubbleSort,116340,50830,3670,4541116
500,25,3,MergeSort,8976,2551,0,671490
500,25,4,CountingSort,1501,0,0,113931
500,25,4,QuickSort,17613,7137,3155,847817
500,25,4,InsertionSort,13305,4435,0,571506
500,25,4,BubbleSort,119702,51979,3936,4628666
500,25,4,MergeSort,8976,2544,0,652732
500,50,1,CountingSort,1501,0,0,113173
500,50,1,QuickSort,18012,7443,3183,795008
500,50,1,InsertionSort,135347,45113,0,4829824
500,50,1,BubbleSort,426850,124189,44618,7579203
500,50,1,MergeSort,8976,3839,0,682986
500,50,2,CountingSort,1501,0,0,112547
500,50,2,QuickSort,16722,7107,2868,822916
500,50,2,InsertionSort,42334,14108,0,1577062
500,50,2,BubbleSort,228606,87075,13614,6376906
500,50,2,MergeSort,8976,2932,0,664512
500,50,3,CountingSort,1501,0,0,112201
500,50,3,QuickSort,18020,7265,3250,876243
500,50,3,InsertionSort,43155,14385,0,1598335
500,50,3,BubbleSort,223534,83995,13886,6304891
500,50,3,MergeSort,8976,2954,0,698899
500,50,4,CountingSort,1501,0,0,112686
500,50,4,QuickSort,21352,8680,3898,1000922
500,50,4,InsertionSort,42372,14124,0,1556739
500,50,4,BubbleSort,241250,93375,13625,6441314
500,50,4,MergeSort,8976,2946,0,667023
500,75,1,CountingSort,1501,0,0,114297
500,75,1,QuickSort,16362,6600,2930,807472
500,75,1,InsertionSort,162103,54031,0,5751080
500,75,1,BubbleSort,463096,124474,53537,7826703
500,75,1,MergeSort,8976,3847,0,704195
500,75,2,CountingSort,1501,0,0,113284
500,75,2,QuickSort,20258,8735,3513,920016
500,75,2,InsertionSort,101688,33892,0,3640694
500,75,2,BubbleSort,361926,114165,33399,7175118
500,75,2,MergeSort,8976,3311,0,668553
500,75,3,CountingSort,1501,0,0,111164
500,75,3,QuickSort,16257,6549,2906,729527
500,75,3,InsertionSort,94776,31592,0,3424909
500,75,3,BubbleSort,356316,115972,31093,7256350
500,75,3,MergeSort,8976,3402,0,683046
500,75,4,CountingSort,1501,0,0,111817
500,75,4,QuickSort,19529,7919,3546,1013626
500,75,4,InsertionSort,101247,33749,0,3646112
500,75,4,BubbleSort,358938,112969,33250,7133699
500,75,4,MergeSort,8976,3442,0,674171
500,100,1,CountingSort,1501,0,0,113266
500,100,1,QuickSort,18921,8169,3252,915084
500,100,1,InsertionSort,167737,55911,0,6000294
500,100,1,BubbleSort,471024,124684,55414,7860566
500,100,1,MergeSort,8976,3855,0,709934
500,100,2,CountingSort,1501,0,0,112292
500,100,2,QuickSort,18249,7293,3316,783645
500,100,2,InsertionSort,175602,58530,0,6265538
500,100,2,BubbleSort,480592,124222,58037,7985313
500,100,2,MergeSort,8976,3825,0,717551
500,100,3,CountingSort,1501,0,0,113685
500,100,3,QuickSort,15234,6360,2626,855303
500,100,3,InsertionSort,175236,58410,0,6246409
500,100,3,BubbleSort,480556,124450,57914,7847168
500,100,3,MergeSort,8976,3875,0,693728
500,100,4,CountingSort,1501,0,0,111673
500,100,4,QuickSort,17909,7442,3158,784747
500,100,4,InsertionSort,159954,53316,0,5750331
500,100,4,BubbleSort,459220,123970,52820,7778946
500,100,4,MergeSort,8976,3863,0,700114
