taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
10000,0,1,CountingSort,30001,0,0,1162291
10000,0,1,QuickSort,540566,236771,94607,3315183
10000,0,1,InsertionSort,29997,9999,0,884040
10000,0,1,BubbleSort,19998,9999,0,622250
10000,0,1,MergeSort,267232,69008,0,2169341
10000,0,2,CountingSort,30001,0,0,1191430
10000,0,2,QuickSort,529754,244403,88449,3269803
10000,0,2,InsertionSort,29997,9999,0,841721
10000,0,2,BubbleSort,19998,9999,0,598321
10000,0,2,MergeSort,267232,69008,0,2080731
10000,0,3,CountingSort,30001,0,0,1180241
10000,0,3,QuickSort,521238,229491,90584,3147592
10000,0,3,InsertionSort,29997,9999,0,857901
10000,0,3,BubbleSort,19998,9999,0,597761
10000,0,3,MergeSort,267232,69008,0,2164222
10000,0,4,CountingSort,30001,0,0,1472132
10000,0,4,QuickSort,512415,236046,85477,2758782
10000,0,4,InsertionSort,29997,9999,0,871111
10000,0,4,BubbleSort,19998,9999,0,590361
10000,0,4,MergeSort,267232,69008,0,2167392
10000,25,1,CountingSort,30001,0,0,1181481
10000,25,1,QuickSort,520416,231414,89722,3437372
10000,25,1,InsertionSort,36274761,12091587,0,25778889
10000,25,1,BubbleSort,148309546,49991597,12081588,78396178
10000,25,1,MergeSort,267232,118564,0,2409462
10000,25,2,CountingSort,30001,0,0,1155541
10000,25,2,QuickSort,505639,222685,87642,3026063
10000,25,2,InsertionSort,4330763,1443585,0,16038282
10000,25,2,BubbleSort,48985804,21625722,1433590,29578111
10000,25,2,MergeSort,267232,79381,0,2182982
10000,25,3,CountingSort,30001,0,0,1161150
10000,25,3,QuickSort,509539,224656,88326,2854812
10000,25,3,InsertionSort,4404006,1468002,0,15937772
10000,25,3,BubbleSort,48962872,21565430,1458003,29699251
10000,25,3,MergeSort,267232,79365,0,2193042
10000,25,4,CountingSort,30001,0,0,1268091
10000,25,4,QuickSort,527640,229860,92586,2722112
10000,25,4,InsertionSort,4271139,1423713,0,8861916
10000,25,4,BubbleSort,49147084,21746114,1413714,30136162
10000,25,4,MergeSort,267232,79364,0,2630721
10000,50,1,CountingSort,30001,0,0,1173751
10000,50,1,QuickSort,519242,228158,90367,3117313
10000,50,1,InsertionSort,53182609,17727535,0,31967354
10000,50,1,BubbleSort,170833092,49981470,17717538,84939733
10000,50,1,MergeSort,267232,120057,0,2498642
10000,50,2,CountingSort,30001,0,0,1207830
10000,50,2,QuickSort,507495,222129,88461,2967602
10000,50,2,InsertionSort,17126322,5708768,0,19645064
10000,50,2,BubbleSort,97297760,37251324,5698778,55280252
10000,50,2,MergeSort,267232,92227,0,2403982
10000,50,3,CountingSort,30001,0,0,1196951
10000,50,3,QuickSort,557014,246682,96773,4028083
10000,50,3,InsertionSort,16993602,5664534,0,11542919
10000,50,3,BubbleSort,96357888,36869874,5654535,54553050
10000,50,3,MergeSort,267232,92249,0,2312851
10000,50,4,CountingSort,30001,0,0,1177291
10000,50,4,QuickSort,514886,225473,89836,3842563
10000,50,4,InsertionSort,16963122,5654374,0,18967784
10000,50,4,BubbleSort,96725528,37074014,5644375,54796100
10000,50,4,MergeSort,267232,92271,0,2382142
10000,75,1,CountingSort,30001,0,0,1139901
10000,75,1,QuickSort,509313,227703,87216,3277242
10000,75,1,InsertionSort,62703833,20901275,0,33016604
10000,75,1,BubbleSort,183495828,49965354,20891280,88592845
10000,75,1,MergeSort,267232,120345,0,2571072
10000,75,2,CountingSort,30001,0,0,1109640
10000,75,2,QuickSort,523361,233990,89778,2876552
10000,75,2,InsertionSort,38354166,12784722,0,26075279
10000,75,2,BubbleSort,144047830,46474469,12774723,73021274
10000,75,2,MergeSort,267232,105001,0,2430891
10000,75,3,CountingSort,30001,0,0,1148111
10000,75,3,QuickSort,505984,230413,85153,2710382
10000,75,3,InsertionSort,37505832,12501944,0,25892239
10000,75,3,BubbleSort,143006648,46519434,12491945,75360996
10000,75,3,MergeSort,267232,106324,0,2642462
10000,75,4,CountingSort,30001,0,0,1232260
10000,75,4,QuickSort,519784,224395,91830,3193222
10000,75,4,InsertionSort,38630385,12876795,0,24742258
10000,75,4,BubbleSort,144362952,46447884,12866796,73128374
10000,75,4,MergeSort,267232,107547,0,2432832
10000,100,1,CountingSort,30001,0,0,1183810
10000,100,1,QuickSort,501739,231259,83460,2873062
10000,100,1,InsertionSort,68238187,22746059,0,32871214
10000,100,1,BubbleSort,190932538,49994139,22736065,87590514
10000,100,1,MergeSort,267232,120356,0,2576962
10000,100,2,CountingSort,30001,0,0,1144860
10000,100,2,QuickSort,530599,229405,93702,3927382
10000,100,2,InsertionSort,67443427,22481141,0,31204132
10000,100,2,BubbleSort,189870286,49992855,22471144,92727476
10000,100,2,MergeSort,267232,120413,0,2572232
10000,100,3,CountingSort,30001,0,0,1166801
10000,100,3,QuickSort,552145,250501,93894,3011362
10000,100,3,InsertionSort,67903104,22634368,0,31687134
10000,100,3,BubbleSort,190481776,49992150,22624369,87889693
10000,100,3,MergeSort,267232,120320,0,2565511
10000,100,4,CountingSort,30001,0,0,1183281
10000,100,4,QuickSort,604660,263926,106947,4378853
10000,100,4,InsertionSort,66614614,22204870,0,34926345
10000,100,4,BubbleSort,188732050,49976279,22194873,87666413
10000,100,4,MergeSort,267232,120383,0,2637132
