taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
50000,0,1,CountingSort,150001,0,0,4179662
50000,0,1,QuickSort,2990753,1402676,496030,23656942
50000,0,1,InsertionSort,149997,49999,0,6658665
50000,0,1,BubbleSort,99998,49999,0,4388052
50000,0,1,MergeSort,1568928,401952,0,17896676
50000,0,2,CountingSort,150001,0,0,4109781
50000,0,2,QuickSort,3014740,1371073,514545,18757814
50000,0,2,InsertionSort,149997,49999,0,5875064
50000,0,2,BubbleSort,99998,49999,0,4308035
50000,0,2,MergeSort,1568928,401952,0,17903900
50000,0,3,CountingSort,150001,0,0,4109455
50000,0,3,QuickSort,2961172,1345096,505297,19943691
50000,0,3,InsertionSort,149997,49999,0,5887400
50000,0,3,BubbleSort,99998,49999,0,4347839
50000,0,3,MergeSort,1568928,401952,0,17970682
50000,0,4,CountingSort,150001,0,0,4150315
50000,0,4,QuickSort,3201240,1451178,550020,23059218
50000,0,4,InsertionSort,149997,49999,0,5885259
50000,0,4,BubbleSort,99998,49999,0,4407204
50000,0,4,MergeSort,1568928,401952,0,18359715
50000,25,1,CountingSort,150001,0,0,4181438
50000,25,1,QuickSort,3247917,1455675,564032,35964385
50000,25,1,InsertionSort,893967351,297989117,0,560149709
50000,25,1,BubbleSort,-603767056,1249721884,297939118,4592174302
50000,25,1,MergeSort,1568928,708391,0,22232381
50000,25,2,CountingSort,150001,0,0,4069112
50000,25,2,QuickSort,3043808,1373996,523304,20053541
50000,25,2,InsertionSort,105492833,35164275,0,75797274
50000,25,2,BubbleSort,1230367070,544954975,35114280,1408260060
50000,25,2,MergeSort,1568928,468525,0,19303788
50000,25,3,CountingSort,150001,0,0,4164732
50000,25,3,QuickSort,2951537,1350773,500288,18562138
50000,25,3,InsertionSort,106899840,35633280,0,80781925
50000,25,3,BubbleSort,1221106222,539386549,35583281,1399185277
50000,25,3,MergeSort,1568928,468375,0,18727103
50000,25,4,CountingSort,150001,0,0,4133043
50000,25,4,QuickSort,3012319,1391902,506733,21260990
50000,25,4,InsertionSort,105134673,35044891,0,78878615
50000,25,4,BubbleSort,1227184586,543602509,34994892,1406959058
50000,25,4,MergeSort,1568928,468404,0,20123440
50000,50,1,CountingSort,150001,0,0,4055547
50000,50,1,QuickSort,3035970,1376646,519794,20546893
50000,50,1,InsertionSort,1326033817,442011271,0,760016019
50000,50,1,BubbleSort,-27241106,1249940547,441961274,5471615690
50000,50,1,MergeSort,1568928,716018,0,23135518
50000,50,2,CountingSort,150001,0,0,4217560
50000,50,2,QuickSort,3032351,1420079,504082,20490811
50000,50,2,InsertionSort,421014955,140338317,0,255852964
50000,50,2,BubbleSort,-1875903598,928955209,140288320,2856240555
50000,50,2,MergeSort,1568928,547436,0,22951672
50000,50,3,CountingSort,150001,0,0,4061729
50000,50,3,QuickSort,3092084,1391843,533337,37892768
50000,50,3,InsertionSort,421715019,140571673,0,270325015
50000,50,3,BubbleSort,-1868852906,932013847,140521674,3041170983
50000,50,3,MergeSort,1568928,547482,0,19184910
50000,50,4,CountingSort,150001,0,0,4067226
50000,50,4,QuickSort,3005542,1363501,513938,20841172
50000,50,4,InsertionSort,428237508,142745836,0,275533874
50000,50,4,BubbleSort,-1852112254,936035847,142695837,3052364395
50000,50,4,MergeSort,1568928,547357,0,21900398
50000,75,1,CountingSort,150001,0,0,4069425
50000,75,1,QuickSort,3173199,1435971,545717,36625412
50000,75,1,InsertionSort,1562591805,520863935,0,966167608
50000,75,1,BubbleSort,287968568,1249840060,520813936,5838361482
50000,75,1,MergeSort,1568928,717690,0,23499488
50000,75,2,CountingSort,150001,0,0,4070638
50000,75,2,QuickSort,2976233,1368674,502490,19876298
50000,75,2,InsertionSort,953896580,317965522,0,558705972
50000,75,2,BubbleSort,-681976606,1170664285,317915530,4543161149
50000,75,2,MergeSort,1568928,626474,0,22015174
50000,75,3,CountingSort,150001,0,0,4046366
50000,75,3,QuickSort,2972199,1350036,507400,35145466
50000,75,3,InsertionSort,953543484,317847828,0,594018009
50000,75,3,BubbleSort,-690636120,1166569930,317797829,4538377032
50000,75,3,MergeSort,1568928,632624,0,23211770
50000,75,4,CountingSort,150001,0,0,4062511
50000,75,4,QuickSort,3036000,1417713,506181,37047273
50000,75,4,InsertionSort,955058367,318352789,0,594161909
50000,75,4,BubbleSort,-686402206,1167676965,318302790,4523894737
50000,75,4,MergeSort,1568928,638853,0,23609242
50000,100,1,CountingSort,150001,0,0,4149713
50000,100,1,QuickSort,3068954,1374647,531433,36386827
50000,100,1,InsertionSort,1687359984,562453328,0,1048437667
50000,100,1,BubbleSort,454459490,1249906735,562403329,5977414199
50000,100,1,MergeSort,1568928,717693,0,23813416
50000,100,2,CountingSort,150001,0,0,4085283
50000,100,2,QuickSort,3255386,1471985,561116,40321653
50000,100,2,InsertionSort,1691510197,563836727,0,953846094
50000,100,2,BubbleSort,460070842,1249945597,563786736,5978412770
50000,100,2,MergeSort,1568928,718171,0,23565121
50000,100,3,CountingSort,150001,0,0,4137982
50000,100,3,QuickSort,3124138,1398109,542042,36894295
50000,100,3,InsertionSort,1678764091,559588029,0,984547541
50000,100,3,BubbleSort,442645532,1249730350,559538032,6001788369
50000,100,3,MergeSort,1568928,717952,0,23673680
50000,100,4,CountingSort,150001,0,0,4059412
50000,100,4,QuickSort,3330192,1483986,582034,36841148
50000,100,4,InsertionSort,1695649436,565216474,0,955907526
50000,100,4,BubbleSort,465557730,1249929549,565166482,5996411969
50000,100,4,MergeSort,1568928,717873,0,39234439
